Year,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2020,"Fort Payne, AL",.,.,.,.,0.07,0.057,.,.,.,17,7.1,.,.,.
2020,"Fort Smith, AR-OK",.,.,26,5,0.06,0.053,.,.,.,20,7.2,.,.,.
2020,"Fort Wayne, IN",.,.,.,.,0.07,0.065,.,.,.,20,9.7,.,.,.
2020,"Fresno, CA",4.1,2.4,54,20,0.13,0.09,5,2,0,124,20.3,320,60,.
2020,"Gadsden, AL",.,.,.,.,0.06,0.053,.,.,.,23,7.9,.,.,.
2020,"Gainesville, FL",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2020,"Gainesville, GA",.,.,.,.,.,.,.,.,.,19,8.7,.,.,.
2020,"Gardnerville Ranchos, NV",.,.,.,.,.,.,.,.,.,70,9.4,.,.,.
2020,"Gettysburg, PA",0.6,0.3,12,2,0.07,0.061,2,2,0,.,.,.,.,.
2020,"Gillette, WY",.,.,.,1,0.07,0.062,.,.,.,.,.,149,30,.
2020,"Glenwood Springs, CO",.,.,18,3,0.08,0.069,.,.,.,.,.,.,.,.
2020,"Grand Island, NE",.,.,.,.,.,.,.,.,.,19,5.5,.,.,.
2020,"Grand Junction, CO",.,.,.,.,0.08,0.065,.,.,.,20,6.1,50,20,.
2020,"Grand Rapids-Wyoming, MI",1.4,1.1,28,5,0.09,0.078,15,6,1,18,7.7,27,9,.
2020,"Grants Pass, OR",.,.,.,.,.,.,.,.,.,29,14.5,.,.,.
2020,"Greeley, CO",1.4,0.7,.,.,0.08,0.072,.,.,.,37,9.8,.,.,.
2020,"Green Bay, WI",.,.,.,.,0.07,0.064,6,2,0,18,7.3,.,.,.
2020,"Greenfield Town, MA",.,.,.,.,0.06,0.052,.,.,.,20,8.2,.,.,.
2020,"Greensboro-High Point, NC",.,.,.,.,0.07,0.057,.,.,.,15,6.4,37,10,.
2020,"Greenville, NC",.,.,.,.,0.06,0.055,.,.,.,13,5.7,.,.,.
2020,"Greenville-Anderson-Mauldin, SC",.,.,33,6,0.07,0.059,1,1,0,20,7.4,48,12,.
2020,"Gulfport-Biloxi-Pascagoula, MS",.,.,27,3,0.07,0.059,6,2,1,20,9.6,.,.,.
2020,"Hagerstown-Martinsburg, MD-WV",.,.,.,.,0.07,0.057,.,.,.,23,7.5,.,.,.
2020,"Hammond, LA",.,.,.,.,.,.,.,.,.,18,7.5,.,.,.
2020,"Hanford-Corcoran, CA",.,.,44,9,0.1,0.084,.,.,.,87,19.9,323,67,.
2020,"Harrisburg-Carlisle, PA",.,.,.,.,0.07,0.062,.,.,.,.,.,40,12,.
2020,"Harrison, AR",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2020,"Harrisonburg, VA",.,.,34,8,0.06,0.053,2,1,0,14,6.1,.,.,.
2020,"Hartford-West Hartford-East Hartford, CT",1.9,1.3,42,12,0.09,0.069,.,.,.,20,7.8,45,14,.
2020,"Hattiesburg, MS",.,.,.,.,.,.,.,.,.,19,9.6,.,.,.
2020,"Helena, MT",0.9,0.6,.,.,0.07,0.059,1,1,0,32,7.5,.,.,.
2020,"Hermiston-Pendleton, OR",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,.
2020,"Hickory-Lenoir-Morganton, NC",.,.,.,.,0.06,0.053,.,.,.,17,7.6,.,.,.
2020,"Hilo, HI",.,.,.,.,.,.,274,76,3,11,3.5,.,.,.
2020,"Hobbs, NM",.,.,32,5,0.07,0.06,.,.,.,18,5.6,.,.,.
2020,"Holland, MI",.,.,.,.,0.09,0.076,.,.,.,13,6,.,.,.
2020,"Homosassa Springs, FL",.,.,.,.,.,.,37,3,1,.,.,.,.,.
2020,"Hot Springs, AR",.,.,.,.,.,.,.,.,.,18,8,.,.,.
2020,"Houma-Thibodaux, LA",.,.,.,.,0.08,0.06,.,.,.,20,7.4,.,.,.
2020,"Houston-The Woodlands-Sugar Land, TX",2.3,1.8,55,16,0.1,0.075,14,3,0,34,11.6,101,31,.
2020,"Huntington-Ashland, WV-KY-OH",.,.,27,5,0.07,0.059,6,2,0,16,7.5,40,19,.
2020,"Huntsville, AL",.,.,.,.,0.06,0.057,.,.,.,17,7.1,37,13,.
2020,"Idaho Falls, ID",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2020,"Indiana, PA",.,.,.,.,0.08,0.066,20,3,0,.,.,.,.,.
2020,"Indianapolis-Carmel-Anderson, IN",2.6,1.8,39,11,0.08,0.069,6,2,0,30,11,65,27,.
2020,"Ionia, MI",.,.,.,.,.,.,.,.,.,.,.,.,.,0.01
2020,"Iowa City, IA",.,.,.,.,.,.,.,.,.,19,7.6,.,.,.
2020,"Ithaca, NY",.,.,.,.,0.06,0.055,.,.,.,.,.,.,.,.
2020,"Jackson, MS",1.4,1.1,.,.,0.06,0.053,4,2,1,22,10.2,75,19,.
2020,"Jackson, TN",.,.,.,.,.,.,.,.,.,16,6.3,.,.,.
2020,"Jackson, WY-ID",1.6,1.4,.,.,0.08,0.066,.,.,.,49,4.8,34,12,.
2020,"Jacksonville, FL",1.4,1.1,37,10,0.07,0.057,60,14,2,18,8.3,98,20,.
2020,"Jamestown-Dunkirk-Fredonia, NY",.,.,.,.,0.07,0.064,3,1,0,12,5.2,.,.,.
2020,"Janesville-Beloit, WI",.,.,.,.,0.08,0.07,.,.,.,.,.,.,.,.
2020,"Jasper, IN",.,.,.,.,.,.,.,.,.,16,8.4,25,14,.
2020,"Jefferson City, MO",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2020,"Johnstown, PA",1.2,0.9,31,6,0.07,0.06,8,2,0,21,8.5,40,10,.
2020,"Joplin, MO",.,.,.,.,0.07,0.056,.,.,.,.,.,111,24,.
2020,"Juneau, AK",.,.,.,.,.,.,.,.,.,17,4.8,34,5,.
2020,"Kahului-Wailuku-Lahaina, HI",.,.,.,.,.,.,.,.,.,7,3.9,.,.,.
2020,"Kalamazoo-Portage, MI",.,.,.,.,0.08,0.072,.,.,.,18,7.7,.,.,.
2020,"Kalispell, MT",.,.,.,.,0.06,0.052,.,.,.,38,7,167,24,.
2020,"Kansas City, MO-KS",1.5,1.1,42,10,0.09,0.066,7,3,1,27,11,138,32,.
2020,"Kapaa, HI",.,.,34,3,.,.,4,4,1,.,.,.,.,.
2020,"Keene, NH",.,.,.,.,0.06,0.05,.,.,.,18,6.2,.,.,.
2020,"Kennewick-Richland, WA",.,.,.,.,0.07,0.061,.,.,.,.,.,566,32,.
2020,"Killeen-Temple, TX",.,.,23,3,0.08,0.064,.,.,.,21,7.8,.,.,.
2020,"Kingsport-Bristol-Bristol, TN-VA",.,.,.,.,0.07,0.056,73,19,2,14,6,.,.,0
2020,"Kingsville, TX",.,.,.,.,.,.,.,.,.,33,10.6,.,.,.
2020,"Kinston, NC",.,.,.,.,0.06,0.056,.,.,.,.,.,.,.,.
2020,"Klamath Falls, OR",.,.,.,.,.,.,.,.,.,88,20,488,37,.
2020,"Knoxville, TN",0.2,0.2,5,1,0.07,0.059,1,1,0,20,8.3,45,15,0.04
2020,"Kokomo, IN",.,.,.,.,0.08,0.064,.,.,.,15,6.7,.,.,.
2020,"Laconia, NH",.,.,.,.,0.06,0.053,.,.,.,10,4.1,.,.,.
2020,"La Crosse-Onalaska, WI-MN",.,.,.,.,0.07,0.061,.,.,.,18,7.7,.,.,.
2020,"Lafayette, LA",.,.,.,.,0.07,0.06,.,.,.,27,8.2,90,15,.
2020,"Lafayette-West Lafayette, IN",.,.,.,.,0.07,0.062,.,.,.,18,9.3,.,.,.
2020,"La Grande, OR",.,.,.,.,.,.,.,.,.,.,.,39,14,.
2020,"Lake Charles, LA",.,.,.,7,0.08,0.064,21,6,1,22,7.5,.,.,.
2020,"Lake Havasu City-Kingman, AZ",.,.,.,.,.,.,.,.,.,.,.,127,21,.
2020,"Lakeland-Winter Haven, FL",.,.,.,.,0.07,0.062,13,2,1,19,8.4,47,17,.
2020,"Lancaster, PA",.,.,.,.,0.08,0.062,.,.,.,29,9.9,59,16,0.04
2020,"Lansing-East Lansing, MI",.,.,33,6,0.07,0.064,4,2,1,22,7.1,.,.,.
2020,"Laramie, WY",.,.,.,.,0.08,0.066,.,.,.,38,7,184,34,.
2020,"Laredo, TX",3.3,1.9,.,.,0.07,0.06,.,.,.,28,10.3,72,25,.
2020,"Las Cruces, NM",.,.,49,8,0.1,0.077,.,.,.,23,9,367,43,.
2020,"Las Vegas-Henderson-Paradise, NV",2.7,2.3,57,23,0.1,0.078,5,3,1,33,12.2,210,40,.
2020,"Lawrenceburg, TN",.,.,.,.,.,.,.,.,.,14,5.3,.,.,.
2020,"Lawton, OK",.,.,.,.,0.07,0.064,.,.,.,19,7.4,.,.,.
2020,"Lewiston-Auburn, ME",.,.,.,.,0.06,0.052,.,.,.,15,5.1,23,11,.
2020,"Lexington-Fayette, KY",.,.,38,5,0.07,0.06,3,1,0,17,7.8,21,13,.
2020,"Lima, OH",.,.,.,.,0.08,0.065,3,1,0,13,5.1,.,.,.
2020,"Lincoln, NE",.,.,.,.,0.06,0.054,25,9,0,17,6.2,.,.,.
2020,"Little Rock-North Little Rock-Conway, AR",1.1,0.9,36,7,0.07,0.064,5,2,1,23,9.9,35,15,.
2020,"Logan, UT-ID",.,.,31,5,0.09,0.068,.,.,.,65,8.7,260,26,.
2020,"Longview, TX",.,.,16,3,0.07,0.055,84,23,2,.,.,.,.,.
2020,"Los Angeles-Long Beach-Anaheim, CA",3.7,2.8,86,23,0.17,0.124,3,1,0,53,15.9,169,29,0.02
2020,"Louisville/Jefferson County, KY-IN",1.6,1.1,44,13,0.08,0.071,15,3,1,23,9.7,47,19,.
2020,"Lubbock, TX",.,.,.,.,.,.,.,.,.,15,5.4,.,.,.
2020,"Ludington, MI",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2020,"Lynchburg, VA",.,.,.,.,.,.,.,.,.,12,5.4,.,.,.
2020,"Macon, GA",.,.,.,.,0.07,0.054,2,1,0,18,8.5,.,.,.
2020,"Madera, CA",.,.,29,6,0.11,0.085,.,.,.,88,19.1,314,49,.
2020,"Madison, WI",.,.,.,.,0.08,0.071,2,1,0,18,8,.,.,.
2020,"Manchester-Nashua, NH",0.4,0.3,.,.,0.07,0.058,1,1,0,9,3,.,.,.
2020,"Manitowoc, WI",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2020,"Marietta, OH",.,.,.,.,0.08,0.059,.,.,.,.,.,.,.,.
2020,"Marshall, MN",.,.,.,.,0.07,0.062,.,.,.,17,5.3,.,.,.
2020,"Marshall, TX",.,.,14,2,0.07,0.055,33,8,2,23,8.3,.,.,.
2020,"Mason City, IA",.,.,.,.,.,.,.,.,.,.,.,68,22,.
2020,"Mayaguez, PR",.,.,.,.,0.3,0.03,.,.,.,.,.,.,.,.
2020,"McAlester, OK",.,.,.,.,0.06,0.057,.,.,.,22,8.5,.,.,0.01
2020,"McAllen-Edinburg-Mission, TX",.,.,.,.,0.06,0.055,.,.,.,33,10.8,82,25,.
2020,"Medford, OR",.,.,.,.,0.08,0.06,.,.,.,63,15.5,46,17,.
2020,"Memphis, TN-MS-AR",1,0.7,36,10,0.08,0.069,2,1,1,20,10,47,13,.
2020,"Merced, CA",.,.,31,7,0.1,0.079,.,.,.,78,15.5,123,41,.
2020,"Meridian, MS",.,.,.,.,0.06,0.051,.,.,.,.,.,.,.,.
2020,"Miami, OK",.,.,.,.,0.05,0.046,.,.,.,.,.,.,.,0.02
2020,"Miami-Fort Lauderdale-West Palm Beach, FL",2.1,1.3,39,13,0.08,0.067,1,1,1,21,9.3,87,22,.
