,Lat,Lon,City,Operator,Date
278,33.807529,-84.438078,"Atlanta, GA",Spin,2021-05-17
279,33.762665,-84.345494,"Atlanta, GA",Spin,2021-05-17
280,33.757876,-84.388081,"Atlanta, GA",Spin,2021-05-17
281,33.760443,-84.391451,"Atlanta, GA",Spin,2021-05-17
282,33.783214,-84.383907,"Atlanta, GA",Spin,2021-05-17
283,33.758062,-84.393225,"Atlanta, GA",Spin,2021-05-17
284,33.787273,-84.38936,"Atlanta, GA",Spin,2021-05-17
285,33.764051,-84.388692,"Atlanta, GA",Spin,2021-05-17
286,33.746588,-84.364618,"Atlanta, GA",Spin,2021-05-17
287,33.762392,-84.393309,"Atlanta, GA",Spin,2021-05-17
288,33.78172,-84.371049,"Atlanta, GA",Spin,2021-05-17
289,33.759183,-84.391848,"Atlanta, GA",Spin,2021-05-17
290,33.785758,-84.374573,"Atlanta, GA",Spin,2021-05-17
291,33.789047,-84.376393,"Atlanta, GA",Spin,2021-05-17
292,33.761056,-84.392421,"Atlanta, GA",Spin,2021-05-17
293,33.783116,-84.381989,"Atlanta, GA",Spin,2021-05-17
294,33.77775,-84.352206,"Atlanta, GA",Spin,2021-05-17
295,33.786365,-84.377858,"Atlanta, GA",Spin,2021-05-17
296,33.756627,-84.39543,"Atlanta, GA",Spin,2021-05-17
297,33.783715,-84.401865,"Atlanta, GA",Spin,2021-05-17
298,33.777922,-84.38729,"Atlanta, GA",Spin,2021-05-17
299,33.760398,-84.396183,"Atlanta, GA",Spin,2021-05-17
300,33.760297,-84.39495,"Atlanta, GA",Spin,2021-05-17
301,33.746757,-84.361187,"Atlanta, GA",Spin,2021-05-17
302,33.762661,-84.359074,"Atlanta, GA",Spin,2021-05-17
303,33.75637418454505,-84.38578196342733,"Atlanta, GA",Spin,2021-05-17
304,33.791581,-84.394293,"Atlanta, GA",Spin,2021-05-17
305,33.752747,-84.384223,"Atlanta, GA",Spin,2021-05-17
306,33.78859,-84.386165,"Atlanta, GA",Spin,2021-05-17
307,33.75566,-84.365274,"Atlanta, GA",Spin,2021-05-17
308,33.745732,-84.373314,"Atlanta, GA",Spin,2021-05-17
309,33.781913,-84.378163,"Atlanta, GA",Spin,2021-05-17
310,33.761648,-84.39635,"Atlanta, GA",Spin,2021-05-17
311,33.753031,-84.381617,"Atlanta, GA",Spin,2021-05-17
312,33.756859,-84.366511,"Atlanta, GA",Spin,2021-05-17
313,33.756817,-84.366541,"Atlanta, GA",Spin,2021-05-17
314,33.807069,-84.393682,"Atlanta, GA",Spin,2021-05-17
315,33.772837,-84.397353,"Atlanta, GA",Spin,2021-05-17
316,33.748784,-84.396469,"Atlanta, GA",Spin,2021-05-17
317,33.764047,-84.37552,"Atlanta, GA",Spin,2021-05-17
318,33.758999,-84.39207,"Atlanta, GA",Spin,2021-05-17
319,33.75011,-84.423317,"Atlanta, GA",Spin,2021-05-17
320,33.758147,-84.393445,"Atlanta, GA",Spin,2021-05-17
321,33.726179,-84.39164,"Atlanta, GA",Spin,2021-05-17
322,33.801164,-84.371494,"Atlanta, GA",Spin,2021-05-17
323,33.73869,-84.368287,"Atlanta, GA",Spin,2021-05-17
324,33.797361,-84.389557,"Atlanta, GA",Spin,2021-05-17
325,33.75819,-84.393468,"Atlanta, GA",Spin,2021-05-17
326,33.764804,-84.359564,"Atlanta, GA",Spin,2021-05-17
327,33.755631,-84.364987,"Atlanta, GA",Spin,2021-05-17
328,33.755577,-84.397818,"Atlanta, GA",Spin,2021-05-17
329,33.762092,-84.395374,"Atlanta, GA",Spin,2021-05-17
330,33.764486,-84.366528,"Atlanta, GA",Spin,2021-05-17
331,33.802835,-84.397487,"Atlanta, GA",Spin,2021-05-17
332,33.756724,-84.395584,"Atlanta, GA",Spin,2021-05-17
333,33.773646,-84.392608,"Atlanta, GA",Spin,2021-05-17
334,33.785557,-84.386433,"Atlanta, GA",Spin,2021-05-17
335,33.761267,-84.386216,"Atlanta, GA",Spin,2021-05-17
336,33.764238,-84.363749,"Atlanta, GA",Spin,2021-05-17
337,33.780983,-84.389422,"Atlanta, GA",Spin,2021-05-17
338,33.759111,-84.391858,"Atlanta, GA",Spin,2021-05-17
339,33.780114,-84.392142,"Atlanta, GA",Spin,2021-05-17
340,33.761417,-84.395418,"Atlanta, GA",Spin,2021-05-17
341,33.76105,-84.391903,"Atlanta, GA",Spin,2021-05-17
342,33.762331,-84.392187,"Atlanta, GA",Spin,2021-05-17
343,33.762035,-84.395496,"Atlanta, GA",Spin,2021-05-17
344,33.781632,-84.38621,"Atlanta, GA",Spin,2021-05-17
345,33.761497,-84.365442,"Atlanta, GA",Spin,2021-05-17
346,33.785688,-84.386876,"Atlanta, GA",Spin,2021-05-17
347,33.766251,-84.391809,"Atlanta, GA",Spin,2021-05-17
348,33.755792,-84.397954,"Atlanta, GA",Spin,2021-05-17
349,33.75826,-84.392962,"Atlanta, GA",Spin,2021-05-17
350,33.779613,-84.387385,"Atlanta, GA",Spin,2021-05-17
351,33.798796,-84.387657,"Atlanta, GA",Spin,2021-05-17
352,33.755101,-84.381828,"Atlanta, GA",Spin,2021-05-17
353,33.76267,-84.345506,"Atlanta, GA",Spin,2021-05-17
354,33.758276,-84.392995,"Atlanta, GA",Spin,2021-05-17
355,33.746558,-84.369613,"Atlanta, GA",Spin,2021-05-17
356,33.761736,-84.360045,"Atlanta, GA",Spin,2021-05-17
357,33.763775,-84.439349,"Atlanta, GA",Spin,2021-05-17
358,33.745756,-84.403505,"Atlanta, GA",Spin,2021-05-17
359,33.771027,-84.396139,"Atlanta, GA",Spin,2021-05-17
360,33.752318,-84.398969,"Atlanta, GA",Spin,2021-05-17
361,33.724849,-84.425581,"Atlanta, GA",Spin,2021-05-17
362,33.760265,-84.394977,"Atlanta, GA",Spin,2021-05-17
363,33.781823,-84.379746,"Atlanta, GA",Spin,2021-05-17
364,33.773721,-84.389198,"Atlanta, GA",Spin,2021-05-17
365,33.786688,-84.386486,"Atlanta, GA",Spin,2021-05-17
366,33.751787,-84.370273,"Atlanta, GA",Spin,2021-05-17
367,33.807013,-84.438561,"Atlanta, GA",Spin,2021-05-17
368,33.783025,-84.37022,"Atlanta, GA",Spin,2021-05-17
369,33.782682,-84.380197,"Atlanta, GA",Spin,2021-05-17
370,33.752217,-84.374184,"Atlanta, GA",Spin,2021-05-17
371,33.756223,-84.376703,"Atlanta, GA",Spin,2021-05-17
372,33.76123,-84.387361,"Atlanta, GA",Spin,2021-05-17
373,33.763875,-84.38633,"Atlanta, GA",Spin,2021-05-17
374,33.767303,-84.342091,"Atlanta, GA",Spin,2021-05-17
375,33.780598,-84.386516,"Atlanta, GA",Spin,2021-05-17
376,33.746685,-84.373426,"Atlanta, GA",Spin,2021-05-17
377,33.758024,-84.393246,"Atlanta, GA",Spin,2021-05-17
378,33.77772,-84.364158,"Atlanta, GA",Spin,2021-05-17
379,33.755548,-84.413867,"Atlanta, GA",Spin,2021-05-17
380,33.776575,-84.376508,"Atlanta, GA",Spin,2021-05-17
381,33.754346,-84.371503,"Atlanta, GA",Spin,2021-05-17
382,33.757641,-84.393049,"Atlanta, GA",Spin,2021-05-17
383,33.773743,-84.36141,"Atlanta, GA",Spin,2021-05-17
384,33.78052886112945,-84.38900984831562,"Atlanta, GA",Spin,2021-05-17
385,33.754287,-84.371459,"Atlanta, GA",Spin,2021-05-17
386,33.754023,-84.380709,"Atlanta, GA",Spin,2021-05-17
387,33.775412,-84.380063,"Atlanta, GA",Spin,2021-05-17
388,33.772732,-84.380718,"Atlanta, GA",Spin,2021-05-17
389,33.755818,-84.397895,"Atlanta, GA",Spin,2021-05-17
390,33.756833,-84.397296,"Atlanta, GA",Spin,2021-05-17
391,33.76402,-84.375533,"Atlanta, GA",Spin,2021-05-17
392,33.777959,-84.385968,"Atlanta, GA",Spin,2021-05-17
393,33.78701,-84.383163,"Atlanta, GA",Spin,2021-05-17
394,33.766259,-84.391801,"Atlanta, GA",Spin,2021-05-17
395,33.783569,-84.3834,"Atlanta, GA",Spin,2021-05-17
396,33.770124,-84.350549,"Atlanta, GA",Spin,2021-05-17
397,33.786346,-84.364581,"Atlanta, GA",Spin,2021-05-17
398,33.792372,-84.386182,"Atlanta, GA",Spin,2021-05-17
399,33.784435,-84.38502,"Atlanta, GA",Spin,2021-05-17
400,33.78288,-84.382437,"Atlanta, GA",Spin,2021-05-17
401,33.75804127935497,-84.393181591819,"Atlanta, GA",Spin,2021-05-17
402,33.760273,-84.39494,"Atlanta, GA",Spin,2021-05-17
403,33.75636,-84.395926,"Atlanta, GA",Spin,2021-05-17
404,33.759151,-84.389112,"Atlanta, GA",Spin,2021-05-17
405,33.761696,-84.360014,"Atlanta, GA",Spin,2021-05-17
